Airline,Callsign,Name,Country code
AAC,ASIANA CARGO,Asiana Airlines Cargo,KOR
AAF,AIGLE AZUR,Aigle Azur,FRA
AAH,ALOHA,Aloha Air Cargo,USA
AAL,AMERICAN,American Airlines,USA
AAN,ANSETT,Ansett Australia,AUS
AAR,ASIANA,Asiana Airlines,KOR
AAW,AFRIQIYAH,Afriqiyah Airways,LBY
AAY,ALLEGIANT,Allegiant Air,USA
ABB,AIR BELGIUM,Air Belgium SA,BEL
ABD,ATLANTA,Air Atlanta Icelandic,ISL
ABG,ABAKAN,Royal Flight,BLR
ABL,AIR BUSAN,Air Busan,KOR
ABN,AIR ALBANIA,Air Albania,ALB
ABQ,AIR BLUE,Airblue,PAK
ABR,CONTRACT,ASL Airlines Ireland,IRL
ABV,ANTRAK,Antrak Air,GHA
ABW,AIRBRIDGE CARGO,Airbridge,BLR
ABX,ABEX AIR,Airborne Express,USA
ABY,ARABIA,Air Arabia,ARE
ACA,AIR CANADA,Air Canada,CAN
ACI,AIR CALIN,Air Caledonie International,NCL
ACL,AIRCAL,Air California,USA
ADB,ANTONOV BUREAU,Antonov Airlines,UKR
ADH,HERON,Air One,ITA
ADK,ADCO,ADC Airlines,NGA
ADO,AIR DO,Air Do,JPN
ADR,ADRIA,Adria Airways,SVN
AEA,EUROPA,Air Europa,ESP
AEE,AEGEAN,Aegean Airlines,GRC
AEU,FLYSTAR,Astraeus,GBR
AEW,AEROSVIT,Aerosvit Airlines,UKR
AEY,AIR ITALY,Air Italy,ITA
AFC,FRANCE CARGO,Air France Cargo,FRA
AFG,ARIANA,Ariana Afghan Airlines,AFG
AFL,AEROFLOT,Aeroflot Russian Airlines,BLR
AFR,AIR FRANCE,Air France,FRA
AGC,SRATEGIC,Strategic Airlines,AUS
AHK,AIR HONG KONG,Air Hong Kong Limited,HKG
AHY,AZAL,Azerbaijan Airlines,AZE
AIA,AVIES,Avies Air Company,EST
AIC,AIR INDIA,Air India,IOT
AIE,AIR INUIT,Air Inuit,CAN
AIJ,INTERJET,Interjet,MEX
AIQ,THAI ASIA,Thai AirAsia,THA
AIZ,ARKIA,Arkia Israel Airlines,ISR
AJK,BAMBI,Allied Air,NGA
AJM,JAMAICA,Air Jamaica,JAM
AJO,AEROEXO,Aeroejecutivo,MEX
