Airline,Callsign,Name,Country Code
AAC,ASIANA CARGO,Asiana Airlines Cargo,KOR
AAL,AMERICAN,American Airlines,USA
AAR,ASIANA,Asiana Airlines,KOR
ACA,AIR CANADA,Air Canada,CAN
AEA,EUROPA,Air Europa,ESP
AEE,AEGEAN,Aegean Airlines,GRC
AHO,AIR HAMBURG,,GA
AIC,AIR INDIA,Air India,IOT
ALK,SRILANKAN,SriLankan Airlines,LKA
ANA,ALL NIPPON,All Nippon Airways,JPN
ANE,AIR NOSTRUM,Air Nostrum,ESP
ASL,AIR SERBIA,Air Serbia,SRB
ATL,AIR BREMEN,,GA
AUA,AUSTRIAN,Austrian Airlines,AUT
AZD,MAILMAN,,GA
BAV,BAMBOO,Bamboo Airways,VNM
BAW,SPEED BIRD,British Airways,GBR
BCS,POSTMAN,European Air Transport N.V/S.A,BEL
BCY,CITY IRELAND,City Jet,IRL
BEL,BEE LINE,Brussels Airlines,BEL
BGH,BALKAN HOLIDAYS,BH Air,BGR
BNI,BARTOLINI,,GA
BOX,GERMAN CARGO,AeroLogic,DEU
BRO,BROADSWORD,2 Excel Aviation,GBR
BTI,AIR BALTIC,Air Baltic,LVA
BUC,EURO CHARYER,European Air Charter,BGR
CAC,CHINA CARGO,China Airlines Cargo,CHN
CAL,DYNASTY,China Airlines,TWN
CAO,AIRCHINA FREIGHT,Air China Cargo,CHN
CCA,AIR CHINA,Air China,CHN
CES,CHINA EASTERN,China Eastern Airlines,CHN
CFE,FLYER,British Airways CityFlyer,GBR
CFG,CONDOR,Condor Flugdienst,DEU
CHC,CHINA SOUTHERN CARGO,China Southern Cargo,CHN
CKK,CARGO KING,China Cargo Airlines,CHN
CLH,LUFTHANSA,Lufthansa CityLine,DEU
CPA,CATHAY,Cathay Pacific,HKG
CPC,CATHAY CARGO,Cathay Pacific Cargo,HKG
CSS,SHUNG FENG,SF Airlines,CHN
CTN,CROATIA,Croatia Airlines,HRV
DAH,AIR ALGERIE,Air Algerie,DZA
DAL,DELTA,Delta Air Lines,USA
DLA,DOLOMOTI,Air Dolomiti,ITA
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
ECA,DARK KNIGHT,,GA
EIN,SHAMROCK,Aer Lingus,IRL
ELY,ELAL,El Al Israel Airlines,ISR
ESC,EMIRATES CARGO,Emirates Sky Cargo,ARE
ETC,ETIHAD CARGO,Etihad Cargo,ARE
ETD,ETIHAD,Etihad Airways,ARE
ETH,ETHIOPIAN,Ethiopian Airlines,ETH
EWG,EURO WINGS,Eurowings,DEU
FDX,FEDEX,FEDERAL EXPRESS,USA
FEG,SKY EGYPT,Flyegypt,EGY
FIN,FIN AIR,Finnair,FIN
GEC,LUFTHANSA CARGO,Lufthansa Cargo,DEU
GFA,GULF AIR,Gulf Air,BHR
HOP,AIRLIN AIR,HOP!,FRA
HVN,VIET NAM AIRLINES,Vietnam Airlines,VNM
ICE,ICE AIR,Icelandair,ISL
ITY,ITARROW,Italia Transporto Aereo S.p.A,ITA
JAL,JAPAN AIR,Japan Airlines,JPN
JFA,MOSQUITO,,GA
KAC,KUWAITI,Kuwait Airways,KWT
KAL,KOREAN AIR,Korean Air,PRK
KCA,KOREAN CARGO,Korean Air Cargo,KOR
KLC,CITY,KLM Cityhopper,NLD
KZR,ASTANALINE,Air Astana/FlyArystan,KAZ
LCO,LAN CARGO,Latam Cargo Chile,USA
LOT,LOT,LOT Polish Airlines,POL
LZB,FLYING BULGARIA,Bulgaria Air,BGR
MEA,CEDAR JET,Middle East Airlines,LBN
MSC,AIR CAIRO,Air Cairo,EGY
MSR,EGYPT AIR,Egyptair,EGY
NJE,FRACTION,Net Jets Europe,PRT
NMA,NESMA,Nesma Airlines,EGY
OCN,OCEAN,Eurowings Discover,DEU
OMA,OMAN AIR,Oman Aviation,OMN
PGT,SUNTURK,Pegasus Airlines,TUR
PVD,PAD AVIATION,,GA
QAC,QATAR CARGO,Qatar Airways Cargo,QAT
QTR,QATARI,Qatar Airways,QAT
RAM,ROYAL AIR MAROC,Royal Air Maroc,MAR
RHH,STAR CRESCENT,,GA
RJA,JORDANIAN,Royal Jordanian,JOR
ROT,TAROM,Romanian Air Transport,ROU
RUN,CARGO TURK,Air Act,TUR
RZO,AIR AZORES,SATA Azores Airlines,PRT
SAC,SAUDIA CARGO,Saudia Cargo,SAU
SAS,SCANDINAVIAN,SAS Scandinavian Airlines,SWE
SIA,SINGAPORE,Singapore Airlines,SGP
SLV,SILVER ARROW,,GA
SQP,SKYUP,SkyUp Airlines,UKR
SVA,SAUDIA,Saudi Arabian Airlines,SAU
SWR,SWISS,Swiss International Air Lines,CHE
SXS,SUN EXPRESS,SunExpress,TUR
TAM,TAM,TAM Linhas Aereas,BRA
TAP,AIR PORTUGAL,TAP Air Portugal,PRT
TAY,QUALITY,ASL Airlines Belgium,BEL
THA,THAI,Thai Airways International,THA
THY,TURKISH,Turkish Airlines,TUR
TJD,ALISERIO,,GA
TUA,TURKMENISTAN,Turkmenistan Airlines,TKM
TUI,TUI JET,TUI fly Deutschland,DEU
TVS,SKY TRAVEL,,GA
UAE,EMIRATES,Emirates Airlines,ARE
UAL,UNITED,United Airlines,USA
UZB,UZBEK,Uzbekistan Airways,UZB
VTI,VISTARA,Vistara,IOT
XXC,AIR CANADA,Air Canada Cargo,CAN
