Airline,Callsign,Name,Country Code
AHO,AIR HAMBURG,,GA
ANG,GOLDSUN,Gold Sun Air,CHN
ATL,AIR BREMEN,,GA
AZD,MAILMAN,,GA
BNI,BARTOLINI,,GA
BTV,WHITE SAND,Be There Vacation,BEL
CBA,CHESHIRE,Chesire Blue,GBR
DEN,DENALI,Denali Airlines,CAN
ECA,DARK KNIGHT,,GA
EMF,PACKAGE,Express Mail Freight,FRA
FRT,FIELD AIR,Feelthere International Airlines,USA
JFA,MOSQUITO,,GA
LAW,LATITUDE,Latitude Airways,NZL
MAX,MAGIC,Magic Express,USA
PAV,PATIENCE,Silent Valley Airline,MEX
PVD,PAD AVIATION,,GA
RAA,RAINIER,Rainier Air,NLD
RHH,STAR CRESCENT,,GA
SLV,SILVER ARROW,,GA
TAB,LESLIE,Trans American,USA
TGB,GLOBE,Trans Global,DEU
TJD,ALISERIO,,GA
TVS,SKY TRAVEL,,GA
UAX,OZZY,Uluru,AUS
VAL,VALUE,Value,USA
