Airline,Callsign,Name,Country Code
ANG,GOLDSUN,Gold Sun Air,CHN
BTV,WHITE SAND,Be There Vacation,BEL
CBA,CHESHIRE,Chesire Blue,GBR
CTE,CORNERSTONE,,GA
CWG,CLEAR WING,,GA
DEN,DENALI,Denali Airlines,CAN
DHR,DARK HORSE,,GA
DPJ,JET CARD,,GA
EMF,PACKAGE,Express Mail Freight,FRA
FRT,FIELD AIR,Feelthere International Airlines,USA
GAJ,GAMA JET,,GA
JCM,SECURE AIR,,GA
JRE,JET SHARE,,GA
JRT,JET RIGHT,,GA
JSL,SELECT JET,,GA
JTZ,STEEL JET,,GA
LAK,RED LAKE,,GA
LAW,LATITUDE,Latitude Airways,NZL
MAX,MAGIC,Magic Express,USA
PAV,PATIENCE,Silent Valley Airline,MEX
PEG,PEG JET,,GA
RAA,RAINIER,Rainier Air,NLD
RJC,COLUMBIA JET,,GA
SKQ,SKY LAB,,GA
TAB,LESLIE,Trans American,USA
TGB,GLOBE,Trans Global,DEU
UAX,OZZY,Uluru,AUS
VAL,VALUE,Value,USA
