Airline,Callsign,Name,Country Code
ABA,AERO BETA,,GA
ABR,CONTRACT,ASL Airlines Ireland,IRL
ADN,AERODIENST,,GA
AEE,AEGEAN,Aegean Airlines,GRC
AMB,AMBULANCE,,GA
ASL,AIR SERBIA,Air Serbia,SRB
ATL,AIR BREMEN,,GA
ATV,AVANTI AIR,,GA
AUA,AUSTRIAN,Austrian Airlines,AUT
AXY,LEGEND,,GA
BAW,SPEED BIRD,British Airways,GBR
BBD,BLUE CARGO,Bluebird NORDIC,ISL
BCY,CITY IRELAND,City Jet,IRL
BTX,BEETLE,,GA
CAI,CORENDON,Corendon Airlines,TUR
CFG,CONDOR,Condor Flugdienst,DEU
CLH,LUFTHANSA,Lufthansa CityLine,DEU
DAL,DELTA,Delta Air Lines,USA
DCS,TWIN STAR,,GA
DHK,WORLD EXPRESS,DHL Air Limited,GBR
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
DUKE,DUKE,,GA
EFD,EVER FLIGHT,,GA
ENT,ENTER AIR,Enter Air,POL
EWG,EURO WINGS,Eurowings,DEU
FHY,FREE BIRD,Freebird Airlines,TUR
GAC,DREAM TEAM,,GA
GTI,GIANT,Atlas Air,USA
HOP,AIRLIN AIR,HOP!,FRA
HRE,HART AIR,,GA
ITY,ITARROW,Italia Transporto Aereo S.p.A,ITA
JEI,JET EXECUTIVE,,GA
JFA,MOSQUITO,,GA
KLC,CITY,KLM Cityhopper,NLD
KRP,CARPATAIR,Carpatair,ROU
LOT,LOT,LOT Polish Airlines,POL
MGH,MAVI,Mavi Gök Airlines (MGA),TUR
MSC,AIR CAIRO,Air Cairo,EGY
NJE,FRACTION,Net Jets Europe,PRT
OAW,HELVETIC,Helvetic Airways,CHE
PGT,SUNTURK,Pegasus Airlines,TUR
PVD,PAD AVIATION,,GA
PWF,PRIVATE WINGS,,GA
QAJ,DAGOBERT,,GA
SAZ,SWISS AMBULANCE,Swiss Air-Ambulance Ltd,CHE
STW,MOON STAR,Southwind Airlines,TUR
SWR,SWISS,Swiss International Air Lines,CHE
SXS,SUN EXPRESS,SunExpress,TUR
TAY,QUALITY,ASL Airlines Belgium,BEL
THY,TURKISH,Turkish Airlines,TUR
TJT,TWIN JET,,GA
TKJ,TURKISH,Anadolu Jet,TUR
TUI,YELLOW CAB,Hapag-Lloyd Express (TUIfly),DEU
VLG,VUELING,Vueling,ESP
