Airline,Callsign,Name,Country Code
AHO,AIR HAMBURG,,GA
ANG,GOLDSUN,Gold Sun Air,CHN
ATL,AIR ATLANTIC,,GA
BTV,WHITE SAND,Be There Vacation,BEL
BTX,BEETLE,,GA
CBA,CHESHIRE,Chesire Blue,GBR
DCS,TWIN STAR,,GA
DEN,DENALI,Denali Airlines,CAN
ECA,DARK KNIGHT,,GA
EFD,EVER FLIGHT,,GA
EMF,PACKAGE,Express Mail Freight,FRA
FHG,FLYING HOPE,,GA
FRF,FAIR FLEET,,GA
FRT,FIELD AIR,Feelthere International Airlines,USA
GAC,DREAM TEAM,,GA
GRB,GRAY BIRD,,GA
JBC,JET BEE,,GA
LAW,LATITUDE,Latitude Airways,NZL
MAX,MAGIC,Magic Express,USA
PAV,PATIENCE,Silent Valley Airline,MEX
RAA,RAINIER,Rainier Air,NLD
TAB,LESLIE,Trans American,USA
TGB,GLOBE,Trans Global,DEU
TIE,TIME AIR,,GA
TIH,TIRIAC AIR,,GA
UAX,OZZY,Uluru,AUS
VAL,VALUE,Value,USA
