Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
ACA,AIR CANADA,Air Canada,CAN
AEA,EUROPA,Air Europa,ESP
AEE,AEGEAN,Aegean Airlines,GRC
AFR,AIR FRANCE,Air France,FRA
AIA,AMELIA,Amelia,FRA
AIC,AIR INDIA,Air India,IND
AMX,AERO MEXICO,AeroMexico,MEX
ASL,AIR SERBIA,Air Serbia,SRB
AUA,AUSTRIAN,Austrian Airlines,AUT
AZG,SILK WEST,Silk Way West Airlines,AZE
BAW,SPEED BIRD,British Airways,GBR
BCS,POSTMAN,European Air Transport N.V/S.A,BEL
BGA,SUPER TRANSPORT,Airbus Transport International,FRA
BOH,BOHEMIA,,GA
BTI,AIR BALTIC,Air Baltic,LVA
CAI,CORENDON,Corendon Airlines,TUR
CAO,AIRCHINA FREIGHT,Air China Cargo,CHN
CES,CHINA EASTERN,China Eastern Airlines,CHN
CFE,FLYER,British Airways CityFlyer,GBR
CKK,CARGO KING,China Cargo Airlines,CHN
CLX,CARGO LUX,Cargolux Airlines,LUX
CND,DUTCH CORENDON,Corendon Dutch Airlines,NLD
CPA,CATHAY,Cathay Pacific,HKG
CSG,SOUTHERN CARGO,China Southern Airlines Cargo,CHN
CSN,CHINA SOUTHERN,China Southern Airlines,CHN
CTN,CROATIA,Croatia Airlines,HRV
CXA,XIAMEN AIR,Xiamen Airlines,CHN
DAL,DELTA,Delta Air Lines,USA
DLA,DOLOMOTI,Air Dolomiti,ITA
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
EFW,GRIFFIN,British Airways Euroflyer,GBR
EIN,SHAMROCK,Aer Lingus,IRL
EJM,JET SPEED,,GA
EJU,ALPINE,easyJet Europe,AUT
ELY,EL AL,El Al Israel Airlines,ISR
ESC,EMIRATES CARGO,Emirates Sky Cargo,ARE
ETC,ETIHAD CARGO,Etihad Cargo,ARE
ETD,ETIHAD,Etihad Airways,ARE
EVA,EVA,EVA Airways,TWN
EZS,TOP SWISS,easyJet Switzerland,CHE
EZY,EASY,easyJet Airline,GBR
FDX,FEDEX,FEDERAL EXPRESS,USA
FIN,FIN AIR,Finnair,FIN
FPY,PLAYER,PLAY,ISL
FYL,FLYINGLUX,,GA
GAC,DREAM TEAM,,GA
GTI,GIANT,Atlas Air,USA
HOP,AIRLINAIR,Air France HOP!,FRA
IBS,IBERIAEXPRES,Iberia Express,ESP
ICE,ICE AIR,Icelandair,ISL
ICV,CARGO LUXITALIA,Cargolux Italia,ITA
ITY,ITARROW,ITA Airways,ITA
JAF,BEAUTY,TUI fly Belgium,BEL
JBU,JET BLUE,JetBlue Airways,USA
JME,JET MAN,,GA
KAC,KUWAITI,Kuwait Airways,KWT
KAL,KOREAN AIR,Korean Air,PRK
KCA,KOREAN CARGO,Korean Air Cargo,KOR
KLM,KLM,KLM Royal Dutch Airlines,NLD
KMM,SKY KNIGHT,KM Malta Airlines,MLT
KQA,KENYA,Kenya Airways,KEN
KZR,ASTANALINE,Air Astana/FlyArystan,KAZ
LCO,LAN CARGO,Latam Cargo Chile,USA
LOT,LOT,LOT Polish Airlines,POL
LXJ,FLEXJET,Flexjet,USA
LZB,FLYING BULGARIA,Bulgaria Air,BGR
MAC,AIR ARABIA MAROC,Air Arabia Maroc,MAR
MAS,MALAYSIAN,Malaysia Airlines Berhad,MYS
MMD,MERMAID,,GA
MNB,BLACK SEA,MNG Airlines,TUR
MPH,MARTIN AIR,Martinair Holland,NLD
MSR,EGYPT AIR,Egyptair,EGY
NCA,NIPPON CARGO,Nippon Cargo Airlines,JPN
NCG,NETHERLANDS COASTGUARD,,GA
NJE,FRACTION,Net Jets Europe,PRT
NOZ,NORDIC,Norwegian Air Shuttle AOC AS,NOR
NSZ,RED NOSE,Norwegian Air Sweden AOC,SWE
PGC,GREEN CLUB,,GA
PGT,SUNTURK,Pegasus Airlines,TUR
PNC,PRINCE AVIATION,,GA
PUE,SPAINISH,Plus Ultra Lineas Aereas,SPA
QAC,QATAR CARGO,Qatar Airways Cargo,QAT
QTR,QATARI,Qatar Airways,QAT
RAM,ROYAL AIR MAROC,Royal Air Maroc,MAR
ROT,TAROM,Romanian Air Transport,ROU
RYR,RYAN AIR,Ryanair,IRL
SAC,SAUDIA CARGO,Saudia Cargo,SAU
SAS,SCANDINAVIAN,SAS Scandinavian Airlines,SWE
SIA,SINGAPORE,Singapore Airlines,SGP
SQC,SINGAPORE CARGO,Singapore Airlines Cargo,SGP
SVA,SAUDIA,Saudi Arabian Airlines,SAU
SWR,SWISS,Swiss International Air Lines,CHE
SXS,SUN EXPRESS,SunExpress,TUR
SZS,SCANDINAVIAN,SAS Connect,IRL
TAP,AIR PORTUGAL,TAP Air Portugal,PRT
TFL,ORANGE,TUI fly Netherlands,NLD
THY,TURKISH,Turkish Airlines,TUR
TKC,TURKISH CARGO,Turkish Cargo Airline,TUR
TKJ,ANATOLIA,Ajet,TUR
TRA,TRANSAVIA,Transavia,NLD
TSC,AIR TRANSAT,Air Transat,CAN
UAE,EMIRATES,Emirates Airlines,ARE
UAL,UNITED,United Airlines,USA
VJA,VISTA AM,Vista America,USA
VJT,VISTA JET,Vista Jet Malta,MLT
VLG,VUELING,Vueling,ESP
XRO,CRAMER,,GA
