Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
ABR,CONTRACT,ASL Airlines Ireland,IRL
ACP,ASTRAL CARGO,Astral Aviation Ltd.,KEN
AFR,AIR FRANCE,Air France,FRA
ASA,ALASKA,Alaska Airlines,USA
ASH,Air Shuttle,Mesa Airlines,USA
ATN,AIR TRANSPORT,Air Transport Intl.,USA
BAW,SPEED BIRD,British Airways,GBR
BOX,GERMAN CARGO,AeroLogic,DEU
BVN,SHOW ME,Baron Aviation Services,USA
CLX,CARGO LUX,Cargolux Airlines,LUX
CMP,COPA,Copa Airlines,PAN
DAL,DELTA,Delta Air Lines,USA
DHL,CONNIE,DHL Kalitta,USA
EDV,ENDEAVOR,Endeavor Air,USA
EJA,EXECJET,NetJets,USA
EJM,JET SPEED,,GA
ETH,ETHIOPIAN,Ethiopian Airlines,ETH
FDX,FEDEX,FEDERAL EXPRESS,USA
FDY,FRIENDLY,Southern Airways Express,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
JBU,JET BLUE,JetBlue Airways,USA
JIA,BLUE STREAK,PSA Airlines,USA
JZA,JAZZ,Air Canada Jazz,CAN
KAL,KOREAN AIR,Korean Air,PRK
KCA,KOREAN CARGO,Korean Air Cargo,KOR
KLM,KLM,KLM Royal Dutch Airlines,NLD
LXJ,FLEXJET,Flexjet,USA
NKS,SPIRIT WINGS,Spirit Airlines,USA
OCN,OCEAN,Discover Airlines,DEU
QAC,QATAR CARGO,Qatar Airways Cargo,QAT
QTR,QATARI,Qatar Airways,QAT
RPA,BRICKYARD,Republic Airways,USA
SKW,SKY WEST,SkyWest Airlines,USA
SUB,SUB AIR,Suburban Air Freight,USA
SWA,SOUTHWEST,Southwest Airlines,USA
THY,TURKISH,Turkish Airlines,TUR
UAL,UNITED,United Airlines,USA
UPS,U P S,United Parcel Service,USA
VIR,VIRGIN,Virgin Atlantic Airways,GBR
WJA,WEST JET,WestJet,CAN
XXC,AIR CANADA,Air Canada Cargo,CAN
