Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
AAY,ALLEGIANT,Allegiant Air,USA
ACA,AIR CANADA,Air Canada,CAN
ASA,ALASKA,Alaska Airlines,USA
ASH,Air Shuttle,Mesa Airlines,USA
ATN,AIR TRANSPORT,Air Transport Intl.,USA
BAW,SPEED BIRD,British Airways,GBR
BVN,SHOW ME,Baron Aviation Services,USA
CNS,CHRONOS,,GA
CWG,CLEAR WING,,GA
CYO,COYOTE,,GA
DAL,DELTA,Delta Air Lines,USA
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
EDG,JET EDGE,,GA
EDV,ENDEAVOR,Endeavor Air,USA
EJA,EXECJET,NetJets,USA
ENY,ENVOY,Envoy Air Inc,USA
FDX,FEDEX,FEDERAL EXPRESS,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
FTH,FOOT HILLS,,GA
GAJ,GAMA JET,,GA
GTI,GIANT,Atlas Air,USA
HAL,HAWAIIAN,Hawaiian Airlines,USA
JBU,JET BLUE,JetBlue Airways,USA
JRE,JET SHARE,,GA
JRT,JET RIGHT,,GA
JSX,BIG STRIPE,JSX (JetSuiteX),USA
JTL,JET LINX,,GA
JZA,JAZZ,Air Canada Jazz,CAN
KLM,KLM,KLM Royal Dutch Airlines,NLD
LXJ,FLEXJET,Flexjet,USA
NKS,SPIRIT WINGS,Spirit Airlines,USA
PRE,PRECISION,,GA
QXE,HORIZON AIR,Horizon Airlines,USA
SCM,SCREAMER,,GA
SCX,SUN COUNTRY,Sun Country Airlines,USA
SKW,SKY WEST,SkyWest Airlines,USA
SLI,COSTERA,Aeromexico Connect,MEX
STV,SATURN,,GA
SWA,SOUTHWEST,Southwest Airlines,USA
SWQ,SWIFT FLIGHT,Swift Air,USA
SXC,AMAZON AIR,Amazon Prime Cargo,USA
TEXDOT,TEX DOT,,GA
TMB,TOMBO,,GA
TWY,TWILIGHT,,GA
UAL,UNITED,United Airlines,USA
UPS,U P S,United Parcel Service,USA
VIR,VIRGIN,Virgin Atlantic Airways,GBR
YEL,YELLOW STONE,,GA
