Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
AAY,ALLEGIANT,Allegiant Air,USA
ACA,AIR CANADA,Air Canada,CAN
ASA,ALASKA,Alaska Airlines,USA
ASH,Air Shuttle,Mesa Airlines,USA
BAW,SPEED BIRD,British Airways,GBR
CTE,CORNERSTONE,,GA
CWG,CLEAR WING,,GA
DAL,DELTA,Delta Air Lines,USA
DHL,CONNIE,DHL Kalitta,USA
DHR,DARK HORSE,,GA
DPJ,JET CARD,,GA
EDV,ENDEAVOR,Endeavor Air,USA
EJA,EXECJET,NetJets,USA
ENY,ENVOY,Envoy Air Inc,USA
FDX,FEDEX,FEDERAL EXPRESS,USA
FDY,FRIENDLY,Southern Airways Express,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
FLE,FLAIR,Flair Airlines,CAN
GAJ,GAMA JET,,GA
GJS,LINDBERGH,GoJet Airlines,USA
GTI,GIANT,Atlas Air,USA
JBU,JET BLUE,JetBlue Airways,USA
JCM,SECURE AIR,,GA
JIA,BLUE STREAK,PSA Airlines,USA
JRE,JET SHARE,,GA
JRT,JET RIGHT,,GA
JSL,SELECT JET,,GA
JTZ,STEEL JET,,GA
JZA,JAZZ,Air Canada Jazz,CAN
KAP,CAIR,Cape Air,USA
LAK,RED LAKE,,GA
LXJ,FLEXJET,Flexjet,USA
MXY,MOXY,Breeze Airways,USA
NJE,FRACTION,Net Jets Europe,PRT
NKS,SPIRIT WINGS,Spirit Airlines,USA
PEG,PEG JET,,GA
RJC,COLUMBIA JET,,GA
RPA,BRICKYARD,Republic Airways,USA
SCX,SUN COUNTRY,Sun Country Airlines,USA
SKQ,SKY LAB,,GA
SKW,SKY WEST,SkyWest Airlines,USA
SWA,SOUTHWEST,Southwest Airlines,USA
SXC,AMAZON AIR,Amazon Prime Cargo,USA
UAL,UNITED,United Airlines,USA
UPS,U P S,United Parcel Service,USA
VTE,VOLUNTEER,Contour Airlines,USA
VXP,AVELO,Avelo Airlines,USA
WEN,ENCORE,WestJest Encore,CAN
