Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
AAY,ALLEGIANT,Allegiant Air,USA
ABX,ABEX AIR,Airborne Express,USA
ACA,AIR CANADA,Air Canada,CAN
AFR,AIR FRANCE,Air France,FRA
ASA,ALASKA,Alaska Airlines,USA
AVA,AVIANCA,Avianca - Aerovias Nacionales de Colombia,COL
BAW,SPEED BIRD,British Airways,GBR
BTQ,BOUTIQUE AIR,Boutique,USA
CMP,COPA,Copa Airlines,PAN
CNS,COBOLT,,GA
CPA,CATHAY,Cathay Pacific,HKG
CTE,CORNERSTONE,,GA
DAL,DELTA,Delta Air Lines,USA
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
DPJ,JET CARD,,GA
EDG,JET EDGE,,GA
EIN,SHAMROCK,Aer Lingus,IRL
EJA,EXECJET,NetJets,USA
EJM,JET SPEED,,GA
ENY,ENVOY,Envoy Air Inc,USA
FDX,FEDEX,FEDERAL EXPRESS,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
FPY,PLAYER,PLAY,ISL
FSY,FROSTY,,GA
FTH,FOOT HILLS,,GA
GAJ,GAMA JET,,GA
GPD,TRADEWIND,,GA
HAL,HAWAIIAN,Hawaiian Airlines,USA
IBE,IBERIA,Iberia Airlines,ESP
ICE,ICE AIR,Icelandair,ISL
ITY,ITARROW,Italia Transporto Aereo S.p.A,ITA
JAL,JAPAN AIR,Japan Airlines,JPN
JBU,JET BLUE,JetBlue Airways,USA
JRE,JET SHARE,,GA
JTL,JET LINX,,GA
JZA,JAZZ,Air Canada Jazz,CAN
KAL,KOREAN AIR,Korean Air,PRK
KAP,CAIR,Cape Air,USA
KLM,KLM,KLM Royal Dutch Airlines,NLD
LVL,LEVEL,Level,FRA
LXJ,FLEXJET,Flexjet,USA
MTN,MOUNTAIN,Mountain Air Cargo,USA
NBT,LONG  SHIP,Norse Atlantic Airways AS,NOR
NKS,SPIRIT WINGS,Spirit Airlines,USA
PDT,PIEDMONT,Piedmont Airlines,USA
PGN,PERGRINE,,GA
POE,PORTER AIR,Porter Airlines,CAN
PUE,SPAINISH,Plus Ultra L�neas A�reas,SPA
PWA,PRIESTER,,GA
QTR,QATARI,Qatar Airways,QAT
RPA,BRICKYARD,Republic Airways,USA
RZO,AIR AZORES,SATA Azores Airlines,PRT
SAS,SCANDINAVIAN,SAS Scandinavian Airlines,SWE
SCX,SUN COUNTRY,Sun Country Airlines,USA
SKW,SKY WEST,SkyWest Airlines,USA
SWA,SOUTHWEST,Southwest Airlines,USA
SWR,SWISS,Swiss International Air Lines,CHE
TAP,AIR PORTUGAL,TAP Air Portugal,PRT
THY,TURKISH,Turkish Airlines,TUR
TIV,THRIVE,,GA
UAE,EMIRATES,Emirates Airlines,ARE
UAL,UNITED,United Airlines,USA
UPS,U P S,United Parcel Service,USA
VIR,VIRGIN,Virgin Atlantic Airways,GBR
VJT,VISTA JET,,GA
VXP,AVELO,Avelo Airlines,USA
WJA,WEST JET,WestJet,CAN
