Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
AAY,ALLEGIANT,Allegiant Air,USA
ABB,AIR BELGIUM,Air Belgium SA,BEL
ABX,ABEX AIR,Airborne Express,USA
AJT,AMERIJET,Amerijet International Airlines,USA
AMF,AMFLIGHT,Ameriflight,USA
ASA,ALASKA,Alaska Airlines,USA
ASH,Air Shuttle,Mesa Airlines,USA
ATN,AIR TRANSPORT,Air Transport Intl.,USA
AWI,AIR WISCONSIN,Air Wisconsin,USA
BAW,SPEED BIRD,British Airways,GBR
BCS,POSTMAN,European Air Transport N.V/S.A,BEL
BOX,GERMAN CARGO,AeroLogic,DEU
CJT,CARGO JET,Cargojet,CAN
CKS,CONNIE,Kalitta Air,USA
CSB,CARGO SOUTH,21 Air LLC,USA
CSJ,CASTLE,Castle AvIation,USA
CYC,CIRCADIAN,,GA
CYV,AIR SHUTTLE,Mesa Airlines Cargo,USA
DAL,DELTA,Delta Air Lines,USA
DHK,WORLD EXPRESS,DHL Air Limited,GBR
EDV,ENDEAVOR,Endeavor Air,USA
ENY,ENVOY,Envoy Air Inc,USA
FDX,FEDEX,FEDERAL EXPRESS,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
GAJ,GAMA JET,,GA
GJS,LINDBERGH,GoJet Airlines,USA
GTI,GIANT,Atlas Air,USA
HAL,HAWAIIAN,Hawaiian Airlines,USA
JIA,BLUE STREAK,PSA Airlines,USA
JZA,JAZZ,Air Canada Jazz,CAN
KII,DRAGSTER,Kalitta Charters II,USA
LXJ,FLEXJET,Flexjet,USA
NCR,NATIONAL CARGO,National Air Cargo,USA
PAC,POLAR,Polar Air Cargo,USA
PDT,PIEDMONT,Piedmont Airlines,USA
RPA,BRICKYARD,Republic Airways,USA
SKW,SKY WEST,SkyWest Airlines,USA
SQC,SINGAPORE CARGO,Singapore Airlines Cargo,SGP
SWA,SOUTHWEST,Southwest Airlines,USA
SWC,DHL AVIATION,DHL iAero Aviation,USA
SXC,AMAZON AIR,Sun Country Amazon Prime Cargo,USA
TKK,TARKA,,GA
UAL,UNITED,United Airlines,USA
WUP,UP AVIATION,,GA
