Airline,Callsign,Name,Country Code
AAY,ALLEGIANT,Allegiant Air,USA
ASA,ALASKA,Alaska Airlines,USA
BLK,AERO BLACK,USAC Airways AERO,USA
CTL,CENTRAL COMMUTER,,GA
CWG,CLEAR WING,,GA
CYO,CAYOTE SOX,,GA
DAL,DELTA,Delta Air Lines,USA
DPJ,JET CARD,,GA
DRL,DRILLER,,GA
EJA,EXECJET,NetJets,USA
FTH,FOOT HILLS,,GA
GAJ,GAMA JET,,GA
JSX,BIG STRIPE,JSX (JetSuiteX),USA
JTL,JET LINX,,GA
KFS,KALITTA,,GA
KPO,KRYPTO,,GA
LBQ,LAB QUEST,,GA
LXJ,FLEXJET,Flexjet,USA
N220PF,MEDAVAC,,GA
N28TX,MEDAVAC NOVEMBER,,GA
N707PF,MEDAVAC,,GA
OKC,THUNDER WINGS,,GA
RNI,RENNIA,,GA
SBE,STAR BASE,,GA
SCM,SCREAMER,,GA
SWA,SOUTHWEST,Southwest Airlines,USA
TMB,TOMBO,,GA
TWY,TWILIGHT,,GA
