Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
AFR,AIR FRANCE,Air France,FRA
ASA,ALASKA,Alaska Airlines,USA
ASH,Air Shuttle,Mesa Airlines,USA
DAL,DELTA,Delta Air Lines,USA
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
EDV,ENDEAVOR,Endeavor Air,USA
EJA,EXECJET,NetJets,USA
ENY,ENVOY,Envoy Air Inc,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
ICE,ICE AIR,Icelandair,ISL
JBU,JET BLUE,JetBlue Airways,USA
JIA,BLUE STREAK,PSA Airlines,USA
JZA,JAZZ,Air Canada Jazz,CAN
NKS,SPIRIT WINGS,Spirit Airlines,USA
NKT,NORTH COUNTRY,,GA
PHX,PHOENIX NORTH,,GA
RPA,BRICKYARD,Republic Airways,USA
SCX,SUN COUNTRY,Sun Country Airlines,USA
SKW,SKY WEST,SkyWest Airlines,USA
SLI,COSTERA,Aeromexico Connect,MEX
SWA,SOUTHWEST,Southwest Airlines,USA
THY,TURKISH,Turkish Airlines,TUR
UAL,UNITED,United Airlines,USA
UJC,ULTIMATE,,GA
WJA,WEST JET,WestJet,CAN
