Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
AAY,ALLEGIANT,Allegiant Air,USA
ACA,AIR CANADA,Air Canada,CAN
ASA,ALASKA,Alaska Airlines,USA
ASP,AIR SPRINT,,GA
AVA,AVIANCA,Avianca - Aerovias Nacionales de Colombia,COL
AZU,Linhas Aereas Brasileiras,Azul Airlines,BRA
AZY,AZTEC WORLD,,GA
BFF,AIR BAFFIN,,GA
BHS,BAHAMAS,Bahamasair,BHS
BMA,GOSLING,BermudAir,BMU
BWA,CARIBBEAN AIRLINES,Caribbean Airlines,TTO
CMP,COPA,Copa Airlines,PAN
CNS,CHRONOS,,GA
DAL,DELTA,Delta Air Lines,USA
ECJ,EAST COAST JET,,GA
EJA,EXECJET,NetJets,USA
ELY,EL AL,El Al Israel Airlines,ISR
FDX,FEDEX,FEDERAL EXPRESS,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
FLE,FLAIR,Flair Airlines,CAN
GMA,GAMA JET,,GA
GTI,GIANT,Atlas Air,USA
JBU,JET BLUE,JetBlue Airways,USA
JRE,JET SHARE,,GA
KWX,KAY DUB,,GA
LAK,RED LAKE,,GA
LXJ,FLEXJET,Flexjet,USA
LYC,LYNDEN,,GA
MTN,MOUNTAIN,Mountain Air Cargo,USA
N56GJ,VENTURA,,GA
N764JS,JET SHARE,,GA
N795JS,JET SHARE,,GA
N923AF,CHRONOS,,GA
NBT,LONG  SHIP,Norse Atlantic Airways AS,NOR
NKS,SPIRIT WINGS,Spirit Airlines,USA
PXG,PHOENIX GLOBAL,,GA
ROU,ROUGE,AIR CANADA ROUGE,CAN
SCX,SUN COUNTRY,Sun Country Airlines,USA
SIL,SILVER WINGS,Silver Airways,USA
SWA,SOUTHWEST,Southwest Airlines,USA
TFF,TALON,,GA
TSC,AIR TRANSAT,Air Transat,CAN
TWY,TWILIGHT,,GA
UAL,UNITED,United Airlines,USA
UPS,U P S,United Parcel Service,USA
VXP,AVELO,Avelo Airlines,USA
WJA,WEST JET,WestJet,CAN
WST,WESTERN BAHAMAS,Western Air Limited,BHS
WSW,SWOOP,Swoop,CAN
XOJ,EXOJET,Xojet Aviation LLC,USA
