Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
ABX,ABEX AIR,Airborne Express,USA
ACA,AIR CANADA,Air Canada,CAN
ADZ,POSTMAN,Compass Air Cargo,BGR
AFR,AIR FRANCE,Air France,FRA
ANZ,NEW ZEALAND,Air New Zealand,NZL
ASA,ALASKA,Alaska Airlines,USA
ASH,Air Shuttle,Mesa Airlines,USA
ATN,AIR TRANSPORT,Air Transport Intl.,USA
BAW,SPEED BIRD,British Airways,GBR
CLX,CARGO LUX,Cargolux Airlines,LUX
CPC,CATHAY CARGO,Cathay Pacific Cargo,HKG
DAL,DELTA,Delta Air Lines,USA
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
EJA,EXECJET,NetJets,USA
EJM,JET SPEED,,GA
ENY,ENVOY,Envoy Air Inc,USA
EVA,EVA,EVA Airways,TWN
FDX,FEDEX,FEDERAL EXPRESS,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
GTI,GIANT,Atlas Air,USA
HER,HERA,,GA
JBU,JET BLUE,JetBlue Airways,USA
KLM,KLM,KLM Royal Dutch Airlines,NLD
LXJ,FLEXJET,Flexjet,USA
MRA,MAR TEX,Martinaire,USA
NKS,SPIRIT WINGS,Spirit Airlines,USA
QTR,QATARI,Qatar Airways,QAT
RPA,BRICKYARD,Republic Airways,USA
SKW,SKY WEST,SkyWest Airlines,USA
SLI,COSTERA,Aeromexico Connect,MEX
SWA,SOUTHWEST,Southwest Airlines,USA
TAI,TACA,Avianca El Salvador,SLV
THY,TURKISH,Turkish Airlines,TUR
TKC,TURKISH CARGO,Turkish Cargo Airline,TUR
UAE,EMIRATES,Emirates Airlines,ARE
UAL,UNITED,United Airlines,USA
UCA,COMMUTAIR,CommutAir,USA
UPS,U P S,United Parcel Service,USA
VIV,VIAABVA,VivaAerobus,MEX
VJT,VISTA JET,Vista Jet Malta,MLT
VOI,VOLARIS,Volaris,MEX
WJA,WEST JET,WestJet,CAN
WUP,UP AVIATION,,GA
