Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
AAY,ALLEGIANT,Allegiant Air,USA
ASA,ALASKA,Alaska Airlines,USA
ASH,Air Shuttle,Mesa Airlines,USA
BAW,SPEED BIRD,British Airways,GBR
CNS,CHRONOS,,GA
DAL,DELTA,Delta Air Lines,USA
EDV,ENDEAVOR,Endeavor Air,USA
EJA,EXECJET,,GA
EJM,JET SPEED,,GA
ENY,ENVOY,Envoy Air Inc,USA
FDX,FEDEX,FEDERAL EXPRESS,USA
FDY,FRIENDLY,Southern Airways Express,USA
FTH,FOOT HILLS,,GA
GJS,LINDBERGH,GoJet Airlines,USA
GXA,GEMINI,Global Crossing Airlines,USA
HRT,CHARTWRIGHT,,GA
JBU,JET BLUE,JetBlue Airways,USA
JIA,BLUE STREAK,PSA Airlines,USA
JRE,JET SHARE,,GA
JZA,JAZZ,Air Canada Jazz,CAN
LAK,LAKES AIR,,GA
LXJ,FLEXJET,Flexjet,USA
MTN,MOUNTAIN,Mountain Air Cargo,USA
MXY,MOXY,Breeze Airways,USA
NKS,SPIRIT WINGS,Spirit Airlines,USA
PDT,PIEDMONT,Piedmont Airlines,USA
PJC,PITTSBURGH JET,,GA
RPA,BRICKYARD,Republic Airways,USA
RVJ,RIVERS JET,,GA
SCW,CHARTER WEST,SkyWest Charter,USA
SCX,SUN COUNTRY,Sun Country Airlines,USA
SKW,SKY WEST,SkyWest Airlines,USA
SWA,SOUTHWEST,Southwest Airlines,USA
SWQ,SWIFT FLIGHT,iAero Airways,USA
SXC,AMAZON AIR,Sun Country Amazon Prime Cargo,USA
TFF,TALON,,GA
TWY,TWILIGHT,,GA
UAL,UNITED,United Airlines,USA
UPS,U P S,United Parcel Service,USA
UWD,UPWARD,,GA
VJA,CRITTER,,GA
WIG,WIGGINGS,,GA
