Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
ASA,ALASKA,Alaska Airlines,USA
ASH,Air Shuttle,Mesa Airlines,USA
CNS,CHRONOS,,GA
DAL,DELTA,Delta Air Lines,USA
DPJ,JET CARD,,GA
EDV,ENDEAVOR,Endeavor Air,USA
EJA,EXECJET,NetJets,USA
ENY,ENVOY,Envoy Air Inc,USA
FDX,FEDEX,FEDERAL EXPRESS,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
FLC,FLIGHT CHECK,,GA
FWK,FLIGHT WORKS,,GA
GAJ,GAMMAJET,,GA
JBU,JET BLUE,JetBlue Airways,USA
JIA,BLUE STREAK,PSA Airlines,USA
JTL,JET LINX,,GA
JZA,JAZZ,Air Canada Jazz,CAN
LBQ,LABQUEST,,GA
LXJ,FLEXJET,,GA
MED,MEDEVAC,,GA
MRA,MAR TEX,Martinaire,USA
MTN,MOUNTAIN,Mountain Air Cargo,USA
N220CH,MEDICAL AIR,,GA
NKS,SPIRIT WINGS,Spirit Airlines,USA
PAT,PAT,,GA
RPA,BRICKYARD,Republic Airways,USA
SKW,SKY WEST,SkyWest Airlines,USA
SWA,SOUTHWEST,Southwest Airlines,USA
SWQ,SWIFT FLIGHT,Swift Air,USA
UAL,UNITED,United Airlines,USA
UPS,U P S,United Parcel Service,USA
