Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
ACA,AIR CANADA,Air Canada,CAN
AIP,ALPINE AIR,Alpine Aviation,USA
AMF,AMFLIGHT,Ameriflight,USA
AMX,AERO MEXICO,AeroMexico,MEX
ASA,ALASKA,Alaska Airlines,USA
CBC,SKYSHARE,,GA
CCK,CARLISLE AIR,,GA
CFS,EMPIRE AIR,Empire Air,USA
CPT,AIR SPUR,Corporate Air Cargo,USA
CSB,CARGO SOUTH,21 Air LLC,USA
CTA,CHAR TRAN,,GA
CWG,CLEAR WING,,GA
CYO,COYOTE,,GA
DAL,DELTA,Delta Air Lines,USA
EJA,EXECJET,NetJets,USA
EJM,JET SPEED,,GA
FDX,FEDEX,FEDERAL EXPRESS,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
HAL,HAWAIIAN,Hawaiian Airlines,USA
JBU,JET BLUE,JetBlue Airways,USA
KLM,KLM,KLM Royal Dutch Airlines,NLD
KPO,KRYPTO,,GA
LBQ,LAB QUEST,,GA
LXJ,FLEXJET,Flexjet,USA
NGF,ANGEL FLIGHT,,GA
NKS,SPIRIT WINGS,Spirit Airlines,USA
PXT,PACK COAST,,GA
SJE,SUN JOURNEY,,GA
SKW,SKY WEST,SkyWest Airlines,USA
SWA,SOUTHWEST,Southwest Airlines,USA
TIV,THRIVE,,GA
TWY,TWILIGHT,,GA
UAL,UNITED,United Airlines,USA
UPS,U P S,United Parcel Service,USA
VJA,VISTA AM,,GA
VNT,VENTURA,,GA
