Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
ASA,ALASKA,Alaska Airlines,USA
AWI,AIR WISCONSIN,Air Wisconsin,USA
CYV,AIR SHUTTLE,Mesa Airlines Cargo,USA
DAL,DELTA,Delta Air Lines,USA
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
EDV,ENDEAVOR,Endeavor Air,USA
EJA,EXECJET,NetJets,USA
ENY,ENVOY,Envoy Air Inc,USA
FDX,FEDEX,FEDERAL EXPRESS,USA
FDY,FRIENDLY,Southern Airways Express,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
GJS,LINDBERGH,GoJet Airlines,USA
HTS,HELISAS,,GA
JIA,BLUE STREAK,PSA Airlines,USA
JTL,JET LINX,,GA
JZA,JAZZ,Air Canada Jazz,CAN
LXJ,FLEXJET,Flexjet,USA
NKS,SPIRIT WINGS,Spirit Airlines,USA
RPA,BRICKYARD,Republic Airways,USA
SCW,CHARTER WEST,SkyWest Charter,USA
SKQ,SKY LAB,,GA
SWA,SOUTHWEST,Southwest Airlines,USA
SWQ,SWIFT FLIGHT,iAero Airways,USA
SXC,AMAZON AIR,Amazon Prime Cargo,USA
UAL,UNITED,United Airlines,USA
UCA,COMMUTAIR,CommutAir,USA
UPS,U P S,United Parcel Service,USA
VJA,CRITTER,,GA
