Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
ACA,AIR CANADA,Air Canada,CAN
AEA,EUROPA,Air Europa,ESP
AEE,AEGEAN,Aegean Airlines,GRC
AFR,AIR FRANCE,Air France,FRA
ASL,AIR SERBIA,Air Serbia,SRB
AZU,AZUL,Azul Linhas Aereas Brasileiras,BRA
BAW,SPEED BIRD,British Airways,GBR
BCS,POSTMAN,European Air Transport N.V/S.A,BEL
BEL,BEE LINE,Brussels Airlines,BEL
BRS,FAB,,GA
CBJ,CAPITAL JET,Beijing Capital Airlines,CHN
CTM,COTAM,,GA
DAH,AIR ALGERIE,Air Algerie,DZA
DAL,DELTA,Delta Air Lines,USA
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
DTA,D T A,TAAG Angola Airlines,AGO
EIN,SHAMROCK,Aer Lingus,IRL
EJU,ALPINE,Easy Jet Europe,AUT
ELY,EL AL,El Al Israel Airlines,ISR
ETD,ETIHAD,Etihad Airways,ARE
EWG,EURO WINGS,Eurowings,DEU
EZS,TOP SWISS,EasyJet Switzerland,CHE
EZY,EASY,EasyJet Airline,GBR
FIN,FIN AIR,Finnair,FIN
FPY,PLAYER,PLAY,ISL
HFM,MOONRAKER,Hifly Malta,MLT
IBE,IBERIA,Iberia Airlines,ESP
KLM,KLM,KLM Royal Dutch Airlines,NLD
LGL,LUXAIR,Luxair,LUX
MMZ,EURO ATLANTIC,EuroAtlantic Airways,PRT
NJE,FRACTION,Net Jets Europe,PRT
OVA,AERO NOVA,Air Europa Express,ESP
RAM,ROYAL AIR MAROC,Royal Air Maroc,MAR
RYR,RYAN AIR,Ryanair,IRL
RYS,MAGIC SUN,BUZZ,POL
RZO,AIR AZORES,SATA Azores Airlines,PRT
SAH,SMART JET,,GA
SRR,WHITE STAR,Maersk Air Cargo,DNK
SWR,SWISS,Swiss International Air Lines,CHE
SWT,POSTMAN,Swift Air,ESP
TAM,TAM,TAM Linhas Aereas,BRA
TAP,AIR PORTUGAL,TAP Air Portugal,PRT
TAY,QUALITY,ASL Airlines Belgium,BEL
TCV,CABOVERDE,Cabo Verde Airlines,PRT
THY,TURKISH,Turkish Airlines,TUR
TRA,TRANSAVIA,Transavia,NLD
TSC,AIR TRANSAT,Air Transat,CAN
TVF,FRENCH SUN,Transavia France,FRA
UAE,EMIRATES,Emirates Airlines,ARE
UAL,UNITED,United Airlines,USA
VJT,VISTA JET,Vista Jet Malta,MLT
VLG,VUELING,Vueling,ESP
VOE,VOLOTEA,VOLOTEA,ESP
WUK,WIZZ GO,Wizz Air UK,GBR
WZZ,WIZZ AIR,Wizz Air Hungary,HUN
