Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
ACA,AIR CANADA,Air Canada,CAN
ACW,ACRO JETS,,GA
AMX,AEROMEXICO,AeroMexico,MEX
ANX,SECRETARIA DEARINA,,GA
ASA,ALASKA,Alaska Airlines,USA
ASP,AIR SPRINT,,GA
DAL,DELTA,Delta Air Lines,USA
FFT,FRONTIER FLIGHT,Frontier Airlines,USA
FLE,FLAIR,Flair Airlines,CAN
JBU,JET BLUE,JetBlue Airways,USA
LCT,TAR,TAR Aerolineas,MEX
LET,MEXALE,,GA
LKF,LAKE FRONT,,GA
LXJ,FLEXJET,Flexjet,USA
MXA,MEXICANA,Mexicana,MEX
SCX,SUN COUNTRY,Sun Country Airlines,USA
SKW,SKY WEST,SkyWest Airlines,USA
SLI,COSTERA,Aeromexico Connect,MEX
SWA,SOUTHWEST,Southwest Airlines,USA
SWG,SUNWING,Sunwing Airlines,CAN
TOM,TOM JET,Tui Airways,GBR
TSC,AIR TRANSAT,Air Transat,CAN
UAL,UNITED,United Airlines,USA
VIV,VIAABVA,VivaAerobus,MEX
VOI,VOLARIS,Volaris,MEX
WJA,WEST JET,WestJet,CAN
WWI,WORLD WIDE,,GA
