Airline,Callsign,Name,Country Code
ABQ,AIR BLUE,Airblue,PAK
ACA,AIR CANADA,Air Canada,CAN
AFG,ARIANA,Ariana Afghan Airlines,AFG
AFL,AEROFLOT,Aeroflot Russian Airlines,BLR
AFR,AIR FRANCE,Air France,FRA
AHO,AIR HAMBURG,,GA
AHY,AZAL,Azerbaijan Airlines,AZE
AIC,AIR INDIA,Air India,IOT
AIZ,ARKIA,Arkia Israel Airlines,ISR
ALK,SRILANKAN,SriLankan Airlines,LKA
AXB,EXPRESS INDIA,Air India Express,IOT
BAW,SPEED BIRD,British Airways,GBR
BBC,BANGLADESH,Biman Bangladesh Airlines,BGD
BDR,BADR AIR,Badr Airlines,SDN
BOX,GERMAN CARGO,AeroLogic,DEU
BTI,AIRBALTIC,Air Baltic,LVA
CCA,AIR CHINA,Air China,CHN
CEB,CEBU AIR,Cebu Pacific,PHL
CPA,CATHAY,Cathay Pacific,HKG
CSC,SI CHUAN,Sichuan Airlines,CHN
CSN,CHINA SOUTHERN,China Southern Airlines,CHN
DAH,AIR ALGERIE,Air Algerie,DZA
DHX,DILMUN,DHL International Aviation ME,BHR
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
DUB,DUBAI,Dubai Royal Air Wing,ARE
EJA,EXECJET,NetJets,USA
ELY,ELAL,El Al Israel Airlines,ISR
ETH,ETHIOPIAN,Ethiopian Airlines,ETH
FAD,ADEAL,Flyadeal,SAU
FBA,IRAQ Express,Fly Baghdad,IRQ
FDB,SKY DUBAI,Flydubai,ARE
FDX,FEDEX,FEDERAL EXPRESS,USA
FIN,FIN AIR,Finnair,FIN
FJO,FLEX JET,,GA
GFA,GULF AIR,Gulf Air,BHR
GOW,GO FIRST,Go First,IOT
HIM,HIMALAYA,Himalaya Airlines,NPL
IAW,IRAQI,Iraqi Airways,IRQ
IGO,IFLY,IndiGo Airlines,IOT
IRM,MAHAN AIR,Mahan Air,IRN
JZR,JAZEERA,Jazeera Airways,KWT
KAC,KUWAITI,Kuwait Airways,KWT
KAL,KOREAN AIR,Korean Air,PRK
KLM,KLM,KLM Royal Dutch Airlines,NLD
KMF,KAMGAR,Kam Air,AFG
KNE,NAS EXPRESS,Nas Air,SAU
KQA,KENYA,Kenya Airways,KEN
KZR,ASTANALINE,Air Astana/FlyArystan,KAZ
LOT,POLLOT,LOT Polish Airlines,POL
MEA,CEDAR JET,Middle East Airlines,LBN
MSR,EGYPT AIR,Egyptair,EGY
OMA,OMAN AIR,Oman Aviation,OMN
OMS,MAZOON,Salam Air,ARE
PAL,PHILIPPINE,Philippine Airlines,PHL
PGT,SUNTURK,Pegasus Airlines,TUR
PIA,PAKISTAN,Pakistan International Airlines,PAK
QQE,Q REX,,GA
QSM,QESHM AIR,Qeshm Air,IRN
QTR,QATARI,Qatar Airways,QAT
RAM,ROYAL AIR MAROC,Royal Air Maroc,MAR
RBA,BRUNEI,Royal Brunei Airlines,BRN
RJA,JORDANIAN,Royal Jordanian,JOR
RWD,RWANDAIR,Rwandair Express,RWA
SDM,RUSSIA,Rossiya Airlines,BLR
SEJ,SPICEJET,Spicejet,IOT
SEP,SERENE,Serene Air,PAK
SIA,SINGAPORE,Singapore Airlines,SGP
SMR,SOMON AIR,Somon Air,TJK
SVA,SAUDIA,Saudi Arabian Airlines,SAU
SWR,SWISS,Swiss International Air Lines,CHE
SXS,SUN EXPRESS,SunExpress,TUR
SYR,SYRIAN AIR,Syrian Arab Airlines,SYR
THY,TURKISH,Turkish Airlines,TUR
TKJ,TURKISH,Anadolu Jet,TUR
TRA,TRANSAVIA,Transavia,NLD
TVS,SKYTRAVEL,SmartWings,CZE
UAE,EMIRATES,Emirates Airlines,ARE
UBG,BANGLA STAR,US-Bangla Airlines,BGD
UGD,CRESTED,Uganda Airlines,UGA
UPS,U P S,United Parcel Service,USA
UTA,UTAIR,UTair Aviation,BLR
UZB,UZBEK,Uzbekistan Airways,UZB
VJT,VISTA JET,,GA
VTI,VISTARA,Vistara,IOT
WZZ,WIZZ AIR,Wizz Air Hungary Ltd.,HUN
