Airline,Callsign,Name,Country Code
AAL,AMERICAN,American Airlines,USA
ABY,ARABIA,Air Arabia,ARE
ACA,AIR CANADA,Air Canada,CAN
AFG,ARIANA,Ariana Afghan Airlines,AFG
AFL,AERO FLOT,Aeroflot Russian Airlines,BLR
AFR,AIR FRANCE,Air France,FRA
AHY,AZAL,Azerbaijan Airlines,AZE
AIC,AIR INDIA,Air India,IND
AKJ,AKASA AIR,Akasa Air,IND
ALK,SRILANKAN,SriLankan Airlines,LKA
ANA,ALL NIPPON,All Nippon Airways,JPN
APK,PEACE BIRD,Air Peace,NGA
ART,SMART LYNX,Smartlynx Airlines Ltd,LVA
AXB,EXPRESS INDIA,Air India Express,IND
BAW,SPEED BIRD,British Airways,GBR
BBC,BANGLADESH,Biman Bangladesh Airlines,BGD
BDA,BLUE DART,Blue Dart Aviation,IND
BOX,GERMAN CARGO,AeroLogic,DEU
BTN,BHUTAN AIR,Bhutan Airlines,BTN
CAC,DYNASTY,China Airlines Cargo,CHN
CPA,CATHAY,Cathay Pacific,HKG
CSS,SHUNG FENG,SF Airlines,CHN
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
DRK,ROYAL BHUTAN,Druk Air/Royal Bhutan Airways,BTN
ETD,ETIHAD,Etihad Airways,ARE
ETH,ETHIOPIAN,Ethiopian Airlines,ETH
FDB,SKY DUBAI,Flydubai,ARE
FDX,FEDEX,FEDERAL EXPRESS,USA
FIN,FIN AIR,Finnair,FIN
FQA,QUIK LIFT,Quikjet Airlines,IND
GFA,GULF AIR,Gulf Air,BHR
GTI,GIANT,Atlas Air,USA
HKC,MASCOT,Hong Kong Air Cargo,HKG
HVN,VIETNAM AIRLINES,Vietnam Airlines,VNM
HYT,QUICK AIR,YTO Cargo Airlines,CHN
IGO,IFLY,IndiGo Airlines,IND
ITY,ITARROW,Italia Transporto Aereo S.p.A,ITA
JAL,JAPAN AIR,Japan Airlines,JPN
JZR,JAZEERA,Jazeera Airways,KWT
KAC,KUWAITI,Kuwait Airways,KWT
KAL,KOREAN AIR,Korean Air,PRK
KLM,KLM,KLM Royal Dutch Airlines,NLD
KNE,NAS EXPRESS,Nas Air,SAU
KZR,ASTANALINE,Air Astana/FlyArystan,KAZ
LLR,ALLIED,Alliance Air,IND
MAS,MALAYSIAN,Malaysia Airlines Berhad,MYS
MAU,AIRMAURITIUS,Air Mauritius,MUS
MSR,EGYPT AIR,Egyptair,EGY
MXD,MALINDO,Batik Air Malaysia,MYS
OMA,OMAN AIR,Oman Aviation,OMN
QTR,QATARI,Qatar Airways,QAT
RHH,STAR CRESCENT,,GA
RNA,ROYAL NEPAL,Royal Nepal Airlines,NPL
SEJ,SPICEJET,Spicejet,IND
SIA,SINGAPORE,Singapore Airlines,SGP
SVA,SAUDIA,Saudi Arabian Airlines,SAU
SWR,SWISS,Swiss International Air Lines,CHE
THA,THAI,Thai Airways International,THA
THY,TURKISH,Turkish Airlines,TUR
UAE,EMIRATES,Emirates Airlines,ARE
UAL,UNITED,United Airlines,USA
UPS,U P S,United Parcel Service,USA
UZB,UZBEK,Uzbekistan Airways,UZB
VIR,VIRGIN,Virgin Atlantic Airways,GBR
VJC,VIETJET AIR,VietJet Air,VNM
VTI,VISTARA,Vistara,IND
XAX,XANADU,AirAsia X,MYS
