Airline,Callsign,Name,Country Code
AFL,AERO FLOT,Aeroflot Russian Airlines,BLR
AIQ,THAI ASIA,Thai AirAsia,THA
ALK,SRILANKAN,SriLankan Airlines,LKA
AMQ,AMEX,,GA
AUA,AUSTRIAN,Austrian Airlines,AUT
AXM,RED CAP,AirAsia Berhad,MYS
AZV,AZUR AIR,Azur Air,UKR
BAW,SPEED BIRD,British Airways,GBR
BKP,BANGKOK AIR,Bangkok Airways,THA
BYD,BEOND,Beond,MDV
CBJ,CAPITAL JET,Beijing Capital Airlines,CHN
CES,CHINA EASTERN,China Eastern Airlines,CHN
CFG,CONDOR,Condor Flugdienst,DEU
CRK,BAUHINIA,Hong Kong Airlines,HKG
CSC,SI CHUAN,Sichuan Airlines,CHN
DQA,ISLAND AVIATION,Maldivian,MDV
ETD,ETIHAD,Etihad Airways,ARE
FDB,SKY DUBAI,Flydubai,ARE
GFA,GULF AIR,Gulf Air,BHR
HYS,SKY EUROPE,HiSky Europe,ROM
IGO,IFLY,IndiGo Airlines,IND
ITY,ITARROW,Italia Transporto Aereo S.p.A,ITA
KZR,ASTANALINE,Air Astana/FlyArystan,KAZ
MAV,SEA WING,Manta Aviation,MDV
MJF,EM EXPRESS,,GA
MXD,MALINDO,Batik Air Malaysia,MYS
NOS,MOON FLOWER,Neos S.p.a.,ITA
OCN,OCEAN,Discover Airlines,DEU
OMA,OMAN AIR,Oman Aviation,OMN
QQE,Q REX,,GA
QTR,QATARI,Qatar Airways,QAT
RHH,STAR CRESCENT,,GA
SIA,SINGAPORE,Singapore Airlines,SGP
SWR,SWISS,Swiss International Air Lines,CHE
THY,TURKISH,Turkish Airlines,TUR
UAE,EMIRATES,Emirates Airlines,ARE
UBG,BANGLA STAR,US-Bangla Airlines,BGD
VIR,VIRGIN,Virgin Atlantic Airways,GBR
VJT,VISTA JET,Vista Jet Malta,MLT
VQI,VILLA AIR,Flyme,MDV
VTI,VISTARA,Vistara,IND
WAZ,WIZZ SKY,Wizz Air Abu Dhabi,ARE
