Airline,Callsign,Name,Country Code
AAR,ASIANA,Asiana Airlines,KOR
ABL,AIR BUSAN,Air Busan,KOR
ABY,ARABIA,Air Arabia,ARE
AFL,AERO FLOT,Aeroflot Russian Airlines,BLR
AHK,AIR HONG KONG,Air Hong Kong Limited,HKG
AIC,AIR INDIA,Air India,IND
AIQ,THAI ASIA,Thai AirAsia,THA
ALK,SRILANKAN,SriLankan Airlines,LKA
ANA,ALL NIPPON,All Nippon Airways,JPN
APJ,AIR PEACH,Peach,JPN
APZ,AIR PREMIA,Air Premia,KOR
AUA,AUSTRIAN,Austrian Airlines,AUT
BAV,BAMBOO,Bamboo Airways,VNM
BBC,BANGLADESH,Biman Bangladesh Airlines,BGD
BKP,BANGKOK AIR,Bangkok Airways,THA
BOX,GERMAN CARGO,AeroLogic,DEU
BTN,BHUTAN AIR,Bhutan Airlines,BTN
CAL,DYNASTY,China Airlines,TWN
CBJ,CAPITAL JET,Beijing Capital Airlines,CHN
CCA,AIR CHINA,Air China,CHN
CEB,CEBU AIR,Cebu Pacific,PHL
CES,CHINA EASTERN,China Eastern Airlines,CHN
CHH,HAINAN,Hainan Airlines,CHN
CKK,CARGO KING,China Cargo Airlines,CHN
CLX,CARGO LUX,Cargolux Airlines,LUX
CPA,CATHAY,Cathay Pacific,HKG
CQH,AIR SPRING,Spring Airlines,CHN
CRK,BAUHINIA,Hong Kong Airlines,HKG
CSC,SI CHUAN,Sichuan Airlines,CHN
CSH,SHANGHAI AIR,Shanghai Airlines,CHN
CSN,CHINA SOUTHERN,China Southern Airlines,CHN
CXA,XIAMEN AIR,Xiamen Airlines,CHN
DHX,DILMUN,DHL International Aviation ME,BHR
DKH,AIR JUNEYAO,Juneyao Airlines,CHN
DLH,LUFTHANSA,Lufthansa German Airlines,DEU
DRK,ROYAL BHUTAN,Druk Air/Royal Bhutan Airways,BTN
ETD,ETIHAD,Etihad Airways,ARE
ETH,ETHIOPIAN,Ethiopian Airlines,ETH
EVA,EVA,EVA Airways,TWN
FDX,FEDEX,FEDERAL EXPRESS,USA
FIN,FIN AIR,Finnair,FIN
GFA,GULF AIR,Gulf Air,BHR
GIA,INDONESIA,Garuda Indonesia,IDN
HKC,MASCOT,Hong Kong Air Cargo,HKG
HKE,HONG KONG SHUTTLE,Hong Kong Express ,HKG
HLF,HOME LAND,Central Airlines Co,CHN
HVN,VIETNAM AIRLINES,Vietnam Airlines,VNM
HYT,QUICK AIR,YTO Cargo Airlines,CHN
IGO,IFLY,IndiGo Airlines,IND
JAL,JAPAN AIR,Japan Airlines,JPN
JJA,JEJU AIR,Jeju Air,KOR
JNA,JIN AIR,Jin Air,JPN
JSA,JETSTAR ASIA,Jetstar Asia,SGP
JST,JETSTAR,Jetstar Airways,AUS
KAC,KUWAITI,Kuwait Airways,KWT
KAL,KOREAN AIR,Korean Air,PRK
KLM,KLM,KLM Royal Dutch Airlines,NLD
KME,GIANT IBIS,Cambodia Airways Co,PNH
KMI,K MILE AIR,K-Mile Air,THA
KNA,KUNMING AIR,Kunming Airlines Co,CHN
KZR,ASTANALINE,Air Astana/FlyArystan,KAZ
LAO,LAO,Lao Airlines,LAO
MAS,MALAYSIAN,Malaysia Airlines Berhad,MYS
MKR,AIR LANME,Lanmei Airlines (Cambodia) Co,PNH
MMA,MYANMAR,Myanmar Airways International,MMR
MYM,MYAIR,MYAirline Sdn Bhd,MYS
NCA,NIPPON CARGO,Nippon Cargo Airlines,JPN
OMA,OMAN AIR,Oman Aviation,OMN
OMS,MAZOON,Salam Air,ARE
PAL,PHILIPPINE,Philippine Airlines,PHL
PIC,PACIFIC AIRLINES,Jetstar Pacific Airlines,VNM
QDA,SKY LEGEND,Qingdao Airlines Co,CHN
QFA,QANTAS,Qantas Airways,AUS
QTR,QATARI,Qatar Airways,QAT
RBA,BRUNEI,Royal Brunei Airlines,BRN
RJA,JORDANIAN,Royal Jordanian,JOR
RLH,SENDI,Sunan Ruili Airlines Co,CHN
SBI,SIBERIAN AIRLINES,S7 Airlines,BLR
SEJ,SPICEJET,Spicejet,IND
SIA,SINGAPORE,Singapore Airlines,SGP
SJX,STAR WALKER,Starlux Airlines Co,TWN
SVA,SAUDIA,Saudi Arabian Airlines,SAU
SWM,SKY ANGKOR,Sky Angkor Airlines Co,PNH
SWR,SWISS,Swiss International Air Lines,CHE
TAX,EXPRESS WING,Thai Airasia X,THA
TGW,SCOOTER,Scoot,SGP
THA,THAI,Thai Airways International,THA
THD,THAI SMILE,Thai Smile Airways,THA
THY,TURKISH,Turkish Airlines,TUR
TKC,TURKISH CARGO,Turkish Cargo Airline,TUR
TVJ,THAI VIETJET,Thai Vietjet Air,THA
TWB,TEE WAY,T'Way Air,KOR
TZP,ZIPPY,Zipair Tokyo,JPN
UAE,EMIRATES,Emirates Airlines,ARE
UBA,UNION AIR,Myanmar Airways,MMR
UBG,BANGLA STAR,US-Bangla Airlines,BGD
UPS,U P S,United Parcel Service,USA
VAG,VIETRAVEL AIR,Vietravel Airlines,VNM
VJC,VIETJET AIR,VietJet Air,VNM
VTI,VISTARA,Vistara,IND
XAX,XANADU,AirAsia X,MYS
